D_R,EDAD,SEXO,CIVIL,HS.TRA,USTED,ANTIGUE,SUELDO,LEER,ESTUD,FINAL,VIVIEN,HABIT,ESUST.,TOTAL,ACTI,NOACTI
1,43,2,3,21,3,20,200,1,1,1,2,2,3,1,1,0
2,18,2,1,40,3,1,450,1,4,2,2,2,3,1,1,0
3,68,2,3,45,1,25,1200,1,8,2,1,4,1,5,3,2
4,21,1,1,35,3,3,600,1,3,2,1,2,3,5,2,3
5,26,1,3,48,3,5,450,1,2,1,2,2,5,2,2,0
6,19,1,1,30,3,1,360,1,1,2,1,4,1,7,2,5
7,38,1,1,40,2,15,780,1,1,2,1,6,3,5,2,3
8,44,1,1,25,2,22,870,2,0,0,3,4,3,6,1,5
9,19,1,1,20,3,1,320,1,2,2,3,2,3,3,1,2
10,48,2,3,30,1,23,480,1,1,1,1,3,1,6,1,5
11,55,2,3,45,2,35,760,1,3,2,3,3,1,4,3,1
12,43,1,3,48,3,16,900,1,8,1,1,4,1,5,1,4
13,47,1,3,42,2,20,1200,1,2,1,1,3,3,5,2,3
14,58,2,5,40,2,34,650,2,0,0,1,3,1,3,1,2
15,31,2,1,45,1,10,1300,1,4,2,2,2,3,3,1,2
16,67,2,5,25,4,25,0,1,3,1,1,1,1,3,2,1
17,23,1,1,25,3,3,350,1,8,2,1,4,1,7,3,4
18,43,2,3,48,2,20,1800,1,8,1,4,2,3,8,2,6
19,22,2,1,20,3,2,430,1,2,2,1,1,5,3,1,2
20,25,2,3,15,2,3,240,2,0,0,1,3,5,2,1,1
21,32,1,1,50,2,8,2100,1,7,1,1,1,5,3,2,1
22,35,1,3,40,3,1,450,1,3,2,1,4,1,4,1,3
23,26,1,1,24,3,4,310,1,2,1,4,3,3,4,3,1
24,41,2,3,40,3,3,200,1,1,1,1,2,1,5,2,3
25,18,1,1,54,3,0,220,1,5,2,3,2,1,5,2,3
26,69,2,4,12,4,35,0,1,1,2,1,5,3,3,2,1
27,38,1,3,50,3,18,430,1,3,1,1,5,3,6,2,4
28,29,1,3,30,2,7,380,1,3,1,2,2,1,2,2,0
29,58,1,4,24,4,22,0,2,0,0,2,4,3,6,3,3
30,22,2,1,15,3,1,180,2,0,0,1,2,1,2,1,1
31,24,2,1,45,3,3,1300,1,7,1,2,2,3,5,1,4
32,43,2,1,15,2,12,240,1,2,2,1,3,1,3,2,1
33,27,2,3,48,3,5,770,1,2,2,1,3,5,1,1,0
34,52,1,1,40,2,30,890,2,0,0,1,3,1,2,1,1
35,43,1,1,35,3,1,350,1,4,1,2,4,1,5,2,3
36,24,1,2,40,3,1,380,1,1,1,1,1,1,4,2,2
37,20,2,1,36,3,3,400,1,2,1,1,2,1,4,1,3
38,29,1,1,48,3,6,1200,1,3,2,2,2,3,2,2,0
39,21,2,1,30,3,2,340,2,0,0,1,9,1,1,1,0
40,64,1,3,42,1,36,2200,1,1,2,1,2,3,5,3,2
41,55,2,3,40,4,28,2000,1,5,2,2,2,3,1,1,0
42,42,2,4,18,3,12,320,1,5,1,4,5,1,4,1,3
43,35,2,1,20,3,10,430,1,6,1,1,2,3,5,3,2
44,30,1,1,25,3,8,560,1,4,1,1,3,1,6,3,3
45,39,2,3,20,3,4,360,1,2,1,2,2,3,1,1,0
46,38,2,4,30,3,5,250,1,3,2,1,3,1,3,1,2
47,32,1,1,50,1,7,2100,1,1,2,1,1,3,3,1,2
48,19,1,1,18,2,1,240,1,8,2,1,4,1,3,2,1
49,46,1,3,55,1,6,1500,1,8,2,1,3,1,2,1,1
50,26,1,1,28,3,2,590,1,8,1,2,3,3,5,1,4
51,40,1,3,35,3,14,870,1,2,2,1,2,3,2,2,0
52,25,2,1,35,2,12,650,1,3,2,2,1,1,1,1,0
53,55,2,3,10,3,30,500,2,0,0,7,4,2,5,3,2
54,37,1,1,35,3,8,390,1,8,2,1,3,3,2,2,0
55,42,2,3,40,2,35,900,1,8,1,1,3,1,2,1,1
56,54,2,5,35,3,34,670,1,3,2,1,5,1,4,1,3
57,21,2,1,20,3,2,370,1,1,2,7,4,2,5,3,2
58,37,1,3,38,3,9,420,1,3,1,1,5,1,3,2,1
59,24,1,1,15,3,4,290,1,4,1,1,5,1,4,3,1
60,52,1,3,64,2,5,850,2,0,0,6,4,5,5,3,2
61,36,1,1,63,3,13,800,1,8,1,2,3,3,1,1,0
62,20,1,1,28,3,1,320,1,2,2,2,3,3,1,1,0
63,48,1,4,40,3,14,480,1,4,2,1,4,1,4,2,2
64,57,2,4,35,3,26,540,1,8,2,1,4,1,4,2,2
65,35,1,2,43,3,14,430,1,1,1,6,3,5,4,2,2
66,33,2,5,45,2,14,650,1,8,1,1,4,1,4,2,2
67,24,2,1,18,3,3,460,1,7,1,1,2,5,3,1,2
68,34,1,3,44,2,10,300,1,3,1,1,3,1,4,2,2
69,20,2,1,20,3,1,280,1,8,2,1,3,1,2,2,0
70,19,1,1,20,3,1,320,1,2,2,1,3,1,4,2,2
71,29,2,2,36,1,6,370,1,2,2,1,3,1,4,2,2
72,51,2,5,40,3,24,800,1,7,1,1,3,1,3,1,2
73,40,1,3,58,3,20,2000,1,8,2,1,3,3,4,1,3
74,49,2,3,15,3,3,320,1,7,1,1,5,1,3,1,2
75,58,2,3,20,3,23,430,1,1,2,1,4,1,2,2,0
76,34,2,1,35,3,5,560,1,2,2,2,5,1,6,3,3
77,32,1,1,20,3,6,430,1,1,2,1,4,1,9,1,8
78,38,2,1,35,3,10,700,1,3,2,1,2,1,6,2,4
79,41,1,3,40,1,15,1400,1,5,1,1,2,1,4,2,2
80,39,2,5,35,2,8,780,1,2,2,2,4,1,4,1,3
81,22,2,1,18,3,3,460,1,3,1,2,3,1,4,2,2
82,45,1,4,30,3,12,280,1,4,2,2,3,1,7,3,4
83,26,1,1,30,3,5,450,1,5,1,1,3,1,6,1,5
84,21,2,1,18,3,2,240,1,6,1,1,4,1,5,1,4
85,26,1,1,25,3,3,460,1,6,2,2,2,3,1,1,0
86,59,2,5,30,3,20,390,1,1,2,1,3,1,4,2,2
87,33,1,3,35,3,9,400,1,2,1,1,5,1,2,1,1
88,32,2,1,25,2,4,560,1,3,2,7,2,2,2,1,1
89,51,2,5,30,3,18,670,1,3,2,1,1,1,3,1,2
90,42,2,5,35,3,10,320,1,3,1,1,3,1,5,2,3
91,49,2,1,50,3,25,1500,1,8,1,3,6,1,6,2,4
92,47,2,4,35,3,11,400,1,3,1,1,3,1,1,1,0
93,23,2,1,40,3,3,500,1,2,1,1,1,3,2,1,1
94,47,2,3,20,3,7,440,1,8,1,1,6,1,5,2,3
95,44,2,1,30,2,8,320,2,0,0,2,2,3,2,2,0
96,41,2,1,45,3,12,850,1,4,2,1,5,1,5,1,4
97,50,1,3,35,2,20,320,1,1,2,1,3,1,4,2,2
98,18,1,1,25,3,1,280,1,5,2,1,2,4,4,2,2
99,46,2,3,30,3,15,420,1,7,1,2,1,3,1,1,0
100,28,2,3,35,1,5,970,1,3,1,1,2,1,1,1,0
